id,Number,sentiment,text
688,17355,0,"The Python __doc__ for each global op should be carried over from its source. ## 🐛 Bug

 is missing for many global operators (, , ...).

## To Reproduce





## Expected behavior

Global ops should contain valid s.

## Environment

PyTorch version: 1.0.1.post2
Is debug build: No
CUDA used to build PyTorch: 9.0.176

OS: Ubuntu 16.04.5 LTS
GCC version: (Ubuntu 5.4.0-6ubuntu1~16.04.11) 5.4.0 20160609
CMake version: version 3.9.4

Python version: 3.6
Is CUDA available: Yes
CUDA runtime version: Could not collect
GPU models and configuration: 
GPU 0: GeForce GTX TITAN Black
GPU 1: GeForce GTX TITAN Black
GPU 2: GeForce GTX TITAN Black
GPU 3: GeForce GTX TITAN Black

Nvidia driver version: 390.30
cuDNN version: /usr/lib/x86_64-linux-gnu/libcudnn.so.7.1.1
"
616,13787,0,"Dataloader Segmentation Fault when using MPI backend & single process per gpu. ## 🐛 Bug

When using DistributedDataParallel with mpi backend and assigning each gpu a single process on the host, program crashes at the end of an epoch. Failure is not always consistent.




## To Reproduce
[https://github.com/pytorch/examples/blob/master/imagenet/main.py](https://github.com/pytorch/examples/blob/master/imagenet/main.py)

run


Modifications:



## Environment

## Additional context

Crash is less likely to occur if the  is decreased,  or the  is increased.

core dump generated


[pytorchsegfault](https://github.com/pytorch/pytorch/files/2572658/pytorchsegfault.txt)

"
322,18998,0,"torch.from_PIL() Request ?. ## 🚀 Feature
A simple method for transforming a PIL images directly into torch tensor.

## Motivation
It's frustrating to use transforms for a simple conversion between a PIL image and torch tensors and in the same time it's very easy to get tensor from numpy through  

## Pitch

Giving it a PIL images of any type and it returns a torch tensor

## Alternatives
I have considered two:
1. Transforms
2. convert it first to numpy then to torch
"
241,4302,0,"'torch.HalfTensor' object has no attribute 'mean'.  results into
 > 'torch.HalfTensor' object has no attribute 'mean'

 is 0.4.0a0+5f7c550"
647,367,0,Support dilation in Conv1d and Conv3d
701,3093,0,"better error messages on compiling with cudnn v5 (which is not supported anymore). Hi All --

I'm getting the following error when I try to build:



Seems like the  flags were added within the past couple of weeks, and I can't find anything Googling the errors.

I have CUDNNV5 and CUDA 8.0 on an Ubuntu16.04 box.  Can provide more details as needed.

Thanks
"
57,23871,1,"Quantized conv is 6x slower than float on CPU. Repro:
 Run resnext101-32x8d with quantized conv instead of float conv and measure elapsed time.

Possible causes:
 Layout transform before and after quantized conv2d calls."
350,15284,0,"index_add_ with scalar values instead of tensors. Hi, I was wondering whether we could update functions like  so that the third argument () can also be a scalar value?"
311,9983,0,"[feature request] Add matrix functions. Add matrix power as implemented by [numpy.linalg.matrix_power](https://docs.scipy.org/doc/numpy/reference/generated/numpy.linalg.matrix_power.html), matrix exponential as implemented by [scipy.linalg.expm](https://docs.scipy.org/doc/scipy-0.15.1/reference/generated/scipy.linalg.expm.html), and matrix logarithm as implemented by [scipy.linalg.logm](https://docs.scipy.org/doc/scipy-0.15.1/reference/generated/scipy.linalg.logm.html).


- [x] matrix_power
- [x] matrix_exp
- [ ] matrix_log
- [ ] matrix_sqrt

cc @ezyang @gchanan @zou3519 @bdhirsh @jbschlosser @anjali411 @jianyuh @nikitaved @pearu @mruberry @heitorschueroff @walterddr @IvanYashchuk @xwang233 @Lezcano @rgommers"
277,9484,0,"WARNING:root:This caffe2 python run does not have GPU support. Will run in CPU only mode. WARNING:root:Debug message: libcurand.so.9.0: cannot open shared object file: No such file or directory Segmentation fault (core dumped). HI,
I have GPU and CUDA, CuDNN, and NCCL. My OS is Ubuntu 16.04, I followed this tutorial to install Coffe2 with GPU support (
conda install -c caffe2 caffe2-cuda9.0-cudnn7
) and the installation finished successfully but this command: python2 -c 'from caffe2.python import workspace; print(workspace.NumCudaDevices())'

returns: WARNING:root:This caffe2 python run does not have GPU support. Will run in CPU only mode.
WARNING:root:Debug message: libcurand.so.9.0: cannot open shared object file: No such file or directory
Segmentation fault (core dumped)
Any Idea how can I solve it??
TNX

$nvcc --version
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2018 NVIDIA Corporation
Built on Tue_Jun_12_23:07:04_CDT_2018
Cuda compilation tools, release 9.2, V9.2.148

$ conda -V
conda 4.5.8

 nvidia-smi
Tue Jul 17 01:58:01 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 384.130                Driver Version: 384.130                   |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Quadro M520         Off  | 00000000:02:00.0 Off |                  N/A |
| N/A   41C    P0    N/A /  N/A |    298MiB /  2002MiB |      2%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     21578      G   /usr/lib/xorg/Xorg                           234MiB |
|    0     22157      G   compiz                                        62MiB |
+-----------------------------------------------------------------------------+

"
430,3514,0,"Unable to use cat on torch.LongTensor. Hello again,

I'm trying to concatenate two tensor together using  applied on a Tensor that I have created from a Numpy array. Here is the example:



Instead if you try with this it works:


What's wrong?

Cheers,
Alessandro"
329,26714,0,"spectral_norm used in RNN causes ""parameter types mismatch"" in GPU. ## Issue description
spectral_norm used in  is okay. But when it's used in ,there will be a 
model = network().cuda()
## Environment
 - PyTorch Version (e.g., 1.0): 1.1.0
 - Python version: 3.6.8
 - CUDA/cuDNN version:  cuda9.0


"
693,219,0,"Conv2dTranspose needs cudnn integration. Right now, only Conv2d is wrapped to be so."
413,5712,0,"Multiple versions of Dockerfiles fail to build. PyTorch GitHub Issues Guidelines
--------------------------------

- OS: Mac
- PyTorch version: master, v0.3.1, v0.3.0, v0.2.0, v0.1.12
- How you installed PyTorch (conda, pip, source):
- Python version: N/A
- CUDA/cuDNN version: N/A
- GPU models and configuration: N/A
- GCC version (if compiling from source): N/A

Version 0.3.1 below:

This produces this:

UPDATE:
Same goes for v0.3.0

UPDATE:
Running  fails with below

UPDATE:
Running 0.1.12 gives this, similar to latest versions but different package:

UPDATE:
Running  gives this:
"
274,2129,0,"[Feature request] truncated normal initializer(sampler). There has been a recent discussion on the discuss about truncated normal initializer [link](https://discuss.pytorch.org/t/implementing-truncated-normal-initializer/4778/15).
I have implemented one on my own, but the code is basically paraphrasing the tensorflow code, which I feel like may cause problem. If you feel good to add this, I can submit a PR once you tell me if it's ok to paraphrase or what's the alternative."
500,22269,0,"Add user-facing Function, so we don't have to expose torch.jit._C.Function. Add user-facing Function, so we don't have to expose torch.jit._C.Function

More details:
https://github.com/pytorch/pytorch/pull/22090#discussion_r296443544"
569,16574,0,"Make it possible to use mypy to typecheck code that uses PyTorch. We generated a type stub for  module in , which is good enough to get autocomplete working in PyCharm. However, the type stub is not that well tested for actually, you know, accurately reflecting the types of our functions (we have light testing, but it's not enough) and it's unlikely that it's actually good enough to actually use mypy to typecheck PyTorch-using code. It seems like this is something that people might be interested in, so I'm creating this issue to track. Please emoji if this is something that you would use.

cc @ezyang @gchanan @zou3519"
214,6258,0,"[feature request] use mkl_vml.h for exp, log vectorization on CPU. @cpuhrsch #6192 disables imprecise vectorized function from avx_mathfunc.h
[vml](https://software.intel.com/en-us/mkl-developer-reference-c-vm-mathematical-functions) is a vector math library from MKL, both performance and precision is promised. As long as  and  is installed in conda, vml can be used in ATen.
@MlWoo was preparing the code previously, the job got interrupted since he is in hospital lately :(
Below is the performance comparison of avx_mathfunc and vml in exp. Though the performance improvement is not so much, the precision is guaranteed.
if this looks ok to you, we will continue the job, after @MlWoo finish his therapy anyway.
"
653,16990,0,"Unsafe .data in fbgemm integration. https://github.com/pytorch/pytorch/blob/4292d13240e23a4a343b4ccb153214ab11c8d255/aten/src/ATen/native/QuantizedLinear.cpp#L39-L40

Here, e.g., if  isn't contiguous, the temporary tensor  can be freed and making the pointers invalid.

cc @jamesr66a "
504,17335,0,.circleci/regenerate.sh doesn't work when run from root directory
687,18862,0,"matmul uses too much memory in some batched cases. ## 🐛 Bug

PyTorch . The GPU times reported are on a P100.

In this case matmul uses about 12 GB of memory when it shouldn't use more than ~3 MB. (i.e. it's using 4096x more memory than necessary)

#### A


Note that this is equivalent to the following memory efficient operation:


#### B


It's also equivalent to the following which is memory efficient and faster, but may require a copy of y and the output may be batched-column-major without some extra work:

#### C


On GPU, **A** takes ~125 ms and uses 12 GB of memory, **B** takes ~22 ms, and **C** takes ~1 ms.

Originally https://discuss.pytorch.org/t/unexpected-huge-memory-cost-of-matmul/41642/4

See also https://github.com/pytorch/pytorch/issues/13222 which may be related

----

I believe the problem is the unnecessary contiguous call here:

https://github.com/pytorch/pytorch/blob/15b318de840de61e2e789c013e34d23819715090/aten/src/ATen/native/LinearAlgebra.cpp#L460-L461

Instead of using  and  it may be possible to use . That might achieve performance of **B**.

"
142,8716,0,[JIT] Traced and Script modules are not properly inlined into script functions
411,3882,0," Leaking dataloader. I’ve met a strange memory leak when I tried to implement “Improved Training of Wasserstein GANs”. I’m getting OOM in the middle of second epoch both on CPU and GPU. Memory usage seems to increase after each batch, the profiling of CPU version points on the for loop over dataloader. Here is the kinda minimal example:



From the discussion on https://discuss.pytorch.org/t/leaking-dataloader/10418 I've found out that the code runs fine on  torch 0.2.0_3, while I'm using https://github.com/pytorch/pytorch/tree/8ebf18b5b1d57ef16c24366649e720867f394a98 built from source, with CUDA 8 and cudnn7, so I supposed it should be some recently introduced bug"
68,3958,1,"10% performance regression on CuDNN convolution dispatch path. This PR https://github.com/pytorch/pytorch/pull/3666 introduces a 10% performance regression on the CuDNN convolution dispatch path. There is no single smoking gun, but it needs to be as fast as the old CuDNN code was. I spent this morning trying to fix it to no avail, so this is to remind me to fix it before next release.

cc @csarofeen @ptrblck"
736,30375,0,"Distributed Using Gloo on Multiple Nodes Does not Work. ## 🐛 Bug

I am trying to run a distributed deep learning workload on multiple nodes using Gloo. But unfortunately I receive the error below:



This is a two node environment with two VMs. Each of these VMs have 16 GB of RAM and 8 cores.
<!-- A clear and concise description of what the bug is. -->

## To Reproduce

The code is very similar to this link: https://pytorch.org/tutorials/intermediate/dist_tuto.html

The only difference is in the initiation phase:



<!-- If you have a code sample, error messages, stack traces, please provide it here as well -->

## Expected behavior

The expected behavior is not seeing the error code and the distributed training process kicking off.

## Environment

PyTorch version: 1.4.0.dev20191122+cpu
Is debug build: No
CUDA used to build PyTorch: None

OS: Ubuntu 18.04.3 LTS
GCC version: (Ubuntu 7.4.0-1ubuntu1~18.04.1) 7.4.0
CMake version: Could not collect

Python version: 3.6
Is CUDA available: No
CUDA runtime version: No CUDA
GPU models and configuration: No CUDA
Nvidia driver version: No CUDA
cuDNN version: No CUDA

Versions of relevant libraries:
[pip3] numpy==1.17.4
[pip3] torch==1.4.0.dev20191122+cpu
[pip3] torchvision==0.5.0.dev20191122+cpu
[conda] Could not collect


cc @pietern @mrshenli @pritamdamania87 @zhaojuanmao @satgera @rohan-varma @gqchen @aazzolini @xush6528"
698,21761,0,"[JIT] Bad error message when instantiating a script class with no __init__. 

"
389,347,0,"cudnn 3d and 1d modules. we only added bindings for 2d modules. finish up.
Assigning to Sam."
451,30627,0,"Everything under /usr/local/include is copied.. ## Bug

When I  to a custom location for packaging (previously set by ), I got everything under my  copied to this custom place.

This only happens on Ubuntu 18.04, and CentOS 7 seems fine with the same build script.
And I've only started to see this recently.
Builds from 2 weeks ago was still fine.

![image](https://user-images.githubusercontent.com/5203025/69997152-5ba9d580-1508-11ea-98c2-fa155ffc8d4e.png)

## Environment

 - PyTorch Version (e.g., 1.0): master
 - OS (e.g., Linux): Ubuntu 18.04 docker
 - How you installed PyTorch (, , source): source
 - Build command you used (if compiling from source): cmake+ninja
 - Python version: 3.6.9 (system default)
 - CUDA/cuDNN version: 10.2


cc @ezyang @gchanan @zou3519"
347,18645,0,"c++ Windows  compile error . visual studio2017  ；Reference directory  O:\pytorch\libtorch\include\torch\csrc\api\include  
  O:\pytorch\libtorch\include   library directory O:\pytorch\libtorch\lib .... 
At the 101 of document rnn.h. There's a mistake.have error :cast to function type is illegal
 pytorch is https://download.pytorch.org/libtorch/cu100/libtorch-win-shared-with-deps-latest.zip
cuda is 10.0
windwos 10
visual studio 2017
release x64
cl.exe 14.16.27023


I think this is a compiler error. To this, there are Windows installation tutorials, you can compare the difference. Select the compilation environment and version.
"
669,23649,0,Installation with non-root access. When I run  it need root access to install the final package. How can I install that in user home (I mean user packages for pip)?
273,9853,0,"TestSequenceOps.test_gather_padding failing. reference(*inputs)threshold

Sample: https://ci.pytorch.org/jenkins/job/caffe2-builds/job/py2-cuda9.0-cudnn7-aten-ubuntu16.04-test/4954/consoleText"
630,18083,0,"A common class in Linear, Conv, LSTM, ... . Hi,

Is there any class that all  inherit from that? 
I want to create a general , which has , so that later I can fill  with any type of layer that I want, e.g.,  Is there such a capability in the current API? This can be done easily in python, though here we need declaration and this hinders the python's easiness. 

Thanks,
Afshin
"
301,7944,0,"Better error message in DataChannelTCP::_receive. ## Issue description

The following code will produce an error from the TCP distributed backend:



Error:



This is a bit misleading, since the sizes of the tensors are the same but the types are different. I think it would be better to give a message along the lines of:



I'd be happy to submit a PR for this if others agree that the original message should be changed."
594,3946,0,"Any Pytorch function can work as Keras's ""TimeDistributed""?. In keras,there is a timedistributed function (https://github.com/fchollet/keras/blob/master/keras/layers/wrappers.py)  which can apply a layer to each temporal slice, I hope the author can develop a function like that."
608,1752,0,"dockerfile: directory '.' is not installable. file 'setup.py' not found. I am using the dockerfile, but the there is an error: directory '.' is not installable. file 'setup.py' not found.

I believe it's located at the line ""pip install -v ."" Anyone know how to fix it? Thanks!"
254,31317,0,"[feature request] [onnx] Export torch.stft as Conv1d till ONNX supports stft op. As far as I understand, for the time being STFT [isn't natively supported by ONNX](https://github.com/onnx/onnx/blob/master/docs/Operators.md)
 
STFT can be exported as a Conv1d op with precomputed (windowed) Fourier basis: https://github.com/NVIDIA/mellotron/blob/master/stft.py

This is useful for tracking/exporting speech recongition models.

I've done a pure PyTorch version in https://github.com/vadimkantorov/convasr/blob/master/models.py#L315-L334 and it seems to work

cc @houseroad @spandantiwari @lara-hdr @BowenBao @neginraoof"
187,24062,0,"[quant] use qconfig_dict in graph mode. ## 🚀 Feature

Extend the initial implementation to use qconfig_dict,
Need scoping support, cc @ZolotukhinM"
164,3657,0,"No link to the previous version doc in master doc. http://pytorch.org/docs/master/
The link to switch doc is dead.

http://pytorch.org/docs/0.2.0/
Old versions are still available and the link is ok there."
287,6257,0,"[feature request] adding a nonzero element ""in-place"" in sparse tensor. First mentioned here, but turns out to be non-existent. 
https://github.com/pytorch/pytorch/pull/6225#pullrequestreview-108887248

This operation would simply add a new index and a new value to a sparse tensor. 

cc @vincentqb @aocsa @nikitaved @pearu @mruberry"
377,28329,0,"No in-place version of where(). ## 🚀 Feature
There is no way to perform the functionality of  in-place. This feature would either add a  method to  or an  parameter to the existing , or both.

## Motivation

All of the usual reasons for doing operations in-place.

## Pitch

As stated above, add a  method to  or an  parameter to the existing .

## Alternatives

One could use the out-of-place  for a less efficient alternative.

Note that the  method does not have the same functionality as an in-place .
"
705,20875,0,"BatchNorm2d implementation returns different results than expected. ## 🐛 Bug

As per https://pytorch.org/docs/stable/nn.html#torch.nn.BatchNorm2d I expect the result of BatchNorm2d to be (x - mean) * scale / sqrt(var + eps) + bias.  However this is not the case.

Given an already loaded BatchNorm2d module as bn0, I have the following:


## Environment
condapip`, source): pip
 - Python version: 3.5
 - CUDA/cuDNN version: 9.2 / 7.1.3
 - GPU models and configuration: 
 - Any other relevant information:
"
245,20402,0,"Tensor and nn.Module Pruning. ## 🚀 Tensor and nn.Module Pruning
Tensor method and/or  util to sparsify tensors and/or model, according to various pruning techniques in the literature. 

## Motivation
State-of-the-art deep learning techniques rely on over-parametrized models that are hard to deploy. On the contrary, biological neural networks are known to use efficient sparse connectivity. It's important to identify best techniques to compress models by reducing the number of parameters in them, in order to reduce memory, battery, and hardware consumption without sacrificing accuracy, deploy lightweight models on device, and guarantee privacy with private on-device computation. On the research front, pruning is used to investigate the differences in learning dynamics of over-parametrized and under-parametrized networks, to study the role of lucky sparse subnetworks and initializations (""lottery tickets"" [[1]](https://arxiv.org/abs/1803.03635)), as a destructive neural architecture search technique, and others.
Goal of this feature: harmonizing pruning practices by providing a standard interface in PyTorch.
Target audience: researchers, engineering and product teams.

## Pitch
Minimalist API, with deeper flexibility for power-users. 

At the tensor level, this could look as follows:

A not-in-place  method will return a  of the same type and size as the one it acts on.
In-place pruning supported via .

At the model level, this will require a bit of thinking but should follow similar API patterns. This is important because not all pruning methods make sense on all parameters in a model (pruning conv kernels != pruning biases != pruning RNNs != pruning in the presence of batch norm, etc.). 
First, we should have a sensible, well-documented default behavior for the average-user's API, where a call to  defaults to pruning PyTorch ""prepackaged"" modules (such as linear, conv, and recurrent layers) in some sensible, expected way. 
Most power users though would probably want to prune custom layers, or prune different layer types or layers at different depths using different pruning methods or pruning method parameters. This could be specified via a dictionary, which maps parameter names (contained in ) to a pruning method and its parameters: 


Similar to the tensor operations, model-level pruning could return a copy of the model, or act on the model in place.

Pruning methods can be used during or post- training; this implementation will be training-loop-agnostic: the user will have to take care of writing their own training loop to decide when to prune and what to do with the pruned object (re-initialize and retrain, finetune, etc.).

## Alternatives
Depending on where this will live within the codebase,  could also look like:  or . I personally would prefer the first option because the kwargs are parameters of the pruning method itself, while  is the tensor it acts on (some pruning methods will also have to take in some data  or  when they're applied), but the last option is more in line with how, say,  is implemented. Perhaps, for Module-level application, following the [example of the  implementation](https://pytorch.org/docs/stable/_modules/torch/nn/utils/weight_norm.html) using hooks will make this more PyTorch-y, but I don't know if we want to sacrifice the ability to act directly on a tensor that is not part of a Module. Would that go into ? Open to suggestions here.


cc @albanD @mruberry @jbschlosser"
90,8154,1,"Performance drop on small models trained on CPU between 0.3.1 and 0.4. ## Issue description

Updating from Pytorch 0.3.1 to 0.4 yields a significant performance drop on small feedforward networks, trained **on CPU**. This effect happens on Linux (in a virtual machine) and on Windows.

The attached code was executed on a Windows 10 machine with an Intel i7-7700HQ.
The Linux test was done in a virtual machine. The computer is equipped with an Intel i7-4702MQ.

The average runtime over 10 repetitions on Linux is 26.141655 s for Pytorch 0.3.1 and 32.092158 s on 0.4  (~23 % increase)
The average runtime over 10 repetitions on Windows is 12.577887 s for Pytorch 0.3.1 and 17.759720 s on 0.4  (~41 % increase)

Observations: 
- The time difference between 0.3.1 and 0.4 seems to be more or less constant on both Windows and Linux. 
- Also profiling suggests the DataLoader __next__ takes 8 s instead of 4 s previously, a major part of the increased time
- Weirdly, in different calls of the script, the early stopping if-clause activates sometimes despire setting the pytorch seed as to avoid effects due to randomness

## Code example

See my results and the data/script used here:
[PytorchSpeedTest.zip](https://github.com/pytorch/pytorch/files/2071136/PytorchSpeedTest.zip)

## System Info

(the collect_env is not yet adapted to Windows, therefore information is missing. I am using pip 10.x and the latest conda)

PyTorch version: 0.4.0
Is debug build: No
CUDA used to build PyTorch: 9.1

OS: Microsoft Windows 10 Home
GCC version: Could not collect
CMake version: Could not collect

Python version: 3.6
Is CUDA available: Yes
CUDA runtime version: 9.1.85
GPU models and configuration: Could not collect
Nvidia driver version: Could not collect
cuDNN version: Could not collect

Versions of relevant libraries:
[pip] Could not collect
[conda] Could not collect

- PyTorch or Caffe2: PyTorch
- How you installed PyTorch (conda, pip, source): all conda (Windows 0.3.1. via conda install -c peterjc123 pytorch-cpu)
- OS: Windows 10 / Ubuntu 16.04 
- PyTorch version: 0.3.1 to 0.4
- Python version: 3.6

## Bottleneck Profiling
0.4


### cProfile
0.3.1

 "
591,11757,0,"Unable to build PyTorch from source without NumPy support. ## Issue description

So far, all the builds in the CI have had NumPy support, meaning that this issue has not been exposed in its entirety yet.

I tried to build PyTorch without NumPy support, and it wasn't possible at first. Editing  made sense to accomplish this, but then it seems that Caffe2 requires NumPy support.

This is the error I got after (almost) building PyTorch.


## Code example

This is what I did to the  file:

## System Info
- PyTorch or Caffe2: PyTorch
- How you installed PyTorch (conda, pip, source): source
- Build command you used (if compiling from source): 
- OS: Ubuntu 18.04.1
- Python version: 3.7
- GCC version (if compiling from source): 7.3
- CMake version: 3.11.3
- Versions of any other relevant libraries: None
"
426,16806,0,"storage_initialized() ASSERT FAILED when I execute tensor.resize_(-1). ## 🐛 Bug

<!-- A clear and concise description of what the bug is. -->

When I execute , I get a run-time error message that tells me to report the bug: . Because  is not a valid argument to , it is reasonable that we get an error. However, the above error message seems to suggest that this error is not handled properly in the source code.  

## To Reproduce

Steps to reproduce the behavior:

1. 
2. 
3. 

<!-- If you have a code sample, error messages, stack traces, please provide it here as well -->

## Expected behavior

<!-- A clear and concise description of what you expected to happen. -->

A proper error message should have been issued. 

## Environment

 - PyTorch Version (e.g., 1.0): 1.0.0
 - OS (e.g., Linux): Windows 10
 - How you installed PyTorch (, , source): pip
 - Build command you used (if compiling from source): N/A
 - Python version: 3.6.2
 - CUDA/cuDNN version: N/A
 - GPU models and configuration: N/A
 - Any other relevant information: N/A
"
191,25117,0,"Nvidia driver & cudatoolkit installed properly but check_driver fails. I have successfully installed NVIDIA driver & cudatoolkit via conda. However, I am not able to use cuda in pytorch (even though it installed successfully). 

Previously, I was using Pytorch with CUDA 8.0, and wanted to upgrade. I removed / purge all CUDA through:


 
Then I updated my Nvidia drivers to 4.10 via PPA (Ubuntu 16.04):



Everything worked smoothly. The output of :


The output of 


Since I wanted conda to manage my CUDA version, I installed the cudatoolkit through conda env (python 3.6):



again, everything installs perfectly. When I run:

but using cuda fails. I get the following error message




I restarted, removed all irrelevant environment variables which may have caused issues (LD_LIBRARY_PATH), removed conda, reinstalled, tried cuda 9.2, but nothing works. I am not sure what the issue could be. Any ideas?

I searched a bit, and found [this](https://discuss.pytorch.org/t/found-no-nvidia-driver-on-your-system-but-its-there/35063) pytorch thread. Since I completely removed CUDA from my system this shouldn't be the problem, but I think somehow it may be related. 

**EDIT:**
It isn't surprising given my error, but following [this issue](https://github.com/pytorch/pytorch/issues/4546), I checked:
"
215,630,0,Add Peephole connections for LSTMs?. From this [paper](http://www.jmlr.org/papers/volume3/gers02a/gers02a.pdf). Peephole connections seem to help in learning precise timings of events.
433,27512,0,"[JIT] floordiv not bound to tensor. ## 🐛 Bug

floordiv is only bound for int, not tensor, which results in an incorrectly inserted cast..


cc @suo"
